**Title**,**Authors**
ReproDB: An Open Platform for Discovering Research Artifacts and Analyzing their Evaluation in Security and Systems,"Anjo Vahldiek-Oberwagner, Marton Bognar, and Salvatore Signorello"
CodeR3: A GenAI-Powered Scientific Workflow Repair and Revival Ecosystem,"Asif Zaman, Kallol Naha, Khalid Belhajjame, and Hasan M. Jamil"
Active Reproducibility for File-Based Exploratory Science,"Anthony Westbrook, Bocheng Cui, Lakshmi Ongolu, and Elizabeth Varki"
Record and Replay Methods for Software Engineering Reproducibility: A Cross-Layer Survey and Taxonomy,"Chenxi Hou, Chun Jie Chong, Mahya Samdaliri, Sichao Liu, and Zhihao Yao"
"Reproducibility Challenges in Computational Network Science: Evidence, Causes, and Recommendations",Akrati Saxena
Measuring Reproducibility in LLM Research: A Rubric and Cross-Topic Corpus Study,"Chun Jie Chong, Chenxi Hou, Sichao Liu, and Zhihao Yao"
"Mutating the 'Immutable': A Large-Scale Study of Git Tag Alterations","Solal Rapaport, Laurent Pautet, Samuel Tardieu, Stefano Zacchiroli, and Théo Zimmermann"
A Framework for Traceability in the Archival of Model-Based Experiments,"Rakshit Mittal, Hans Vangheluwe, and Dominique Blouin"
Reproducibility of the NeurIPS 2020 Black-Box Optimization Challenge: Re-evaluating Competition Submissions,"Ivan Raytchinov, Marie Anastacio, Anja Jankovic, Odd Erik Gundersen, and Holger H. Hoos"
Understanding or Imitation? Auditing Conceptual Understanding and Reasoning in Large Language Models,"Muhammad Saram Hassan, Essa Jan, Ramneet Kaur, Eric Yeh, Fareed Zaffar, and Ashish Gehani"
AI-Generated Code Is Not Reproducible (Yet): An Empirical Study of Dependency Gaps in LLM-Based Coding Agents,"Bhanu Prakash Vangala, Ashish Gehani, and Tanu Malik"
