**Name**, **Affiliation**
Andreas Athanasiou,TU Delft
David Balenson,USC Information Sciences Institute
Marton Bognar,"DistriNet, KU Leuven"
Jean Camp,UNC Charlotte 
Justin Cappos,New York University
Bruce Childers,University of Pittsburgh
Bart Coppens,Ghent University
Andreea Costea,TU Delft
Ludovic Courtès,Inria
Jack Davidson,University of Virginia
Chinmay Deshpande,AMD
Andreas Diavastos,Cyprus University of Technology
Antreas Dionysiou,Delft University of Technology
David Eyers,University of Otago
Fraida Fund,New York University
Grigori Fursin,"cTuning Labs, Lumai"
Dimitra Giantsidi,Microsoft Research Cambridge
Kevin Hamlen,University of Texas at Dallas
Marc Herbstritt,University Freiburg
Denis Hirn,University of Tübingen
Daniel S. Katz,University of Illinois Urbana-Champaign
Marios Kogias,Imperial College London
Ignacio Laguna,Lawrence Livermore National Laboratory
George Lazaridis,Centre for Research & Technology Hellas (CERTH)
Hugo Lefeuvre,University of British Columbia
Debasmita Lohar,IT University of Copenhagen
Evangelia Anna Markatou,TU Delft
Marcela Melara,Intel Corporation
Alyssa Milburn,Intel
Jelena Mirkovic,USC Information Sciences Institute
Mainack Mondal,"IIT Kharagpur, India"
Kostas Papagiannopoulos,University of Amsterdam
Sean Peisert,"Lawrence Berkeley National Laboratory and University of California, Davis"
Solal  Pirelli,EPFL
Beth Plale,University of Oregon
Lutz Prechelt,Freie Universität Berlin
Vineet Rajani,UNSW Sydney
Mahadev Satyanarayanan,Carnegie Mellon University
Stefanie Scherzinger,University of Passau
Salvatore Signorello,NOVA University Lisbon
Stian Soiland-Reyes,The University of Manchester
Douglas Thain,University of Notre Dame
Rafael Tolosana-Calasanz,Universidad de Zaragoza
Emma Tosch,Northeastern University
Demetris Trihinas,University of Nicosia
Petr Tůma,Charles University
Anjo Vahldiek-Oberwagner,Intel Labs
Marco Vassena,Utrecht University
Niki Vazou,IMDEA Software Insitute
Jyothi Vedurada,IIT Hyderabad
Anton Wijs,Eindhoven University of Technology
Nikolay Yakovets,TU Eindhoven
